 ,Area,Mean,Min,Max
1077,286,255,255,255
1078,419,255,255,255
1079,496,255,255,255
1080,401,255,255,255
1081,402,255,255,255
1082,280,255,255,255
1083,283,255,255,255
1084,243,255,255,255
1085,364,255,255,255
1086,410,255,255,255
1087,484,255,255,255
1088,442,255,255,255
1089,302,255,255,255
1090,497,255,255,255
1091,377,255,255,255
1092,287,255,255,255
1093,408,255,255,255
1094,255,255,255,255
1095,410,255,255,255
1096,291,255,255,255
1097,280,255,255,255
1098,275,255,255,255
1099,355,255,255,255
1100,294,255,255,255
1101,266,255,255,255
1102,420,255,255,255
1103,293,255,255,255
1104,379,255,255,255
1105,326,255,255,255
1106,300,255,255,255
1107,491,255,255,255
1108,301,255,255,255
1109,278,255,255,255
1110,482,255,255,255
1111,316,255,255,255
1112,496,255,255,255
1113,296,255,255,255
1114,285,255,255,255
1115,487,255,255,255
1116,299,255,255,255
1117,288,255,255,255
1118,308,255,255,255
1119,343,255,255,255
1120,471,255,255,255
1121,361,255,255,255
1122,311,255,255,255
1123,351,255,255,255
1124,426,255,255,255
1125,279,255,255,255
1126,312,255,255,255
1127,284,255,255,255
1128,338,255,255,255
1129,268,255,255,255
1130,314,255,255,255
1131,351,255,255,255
1132,412,255,255,255
1133,298,255,255,255
1134,381,255,255,255
1135,418,255,255,255
1136,309,255,255,255
1137,341,255,255,255
1138,303,255,255,255
1139,357,255,255,255
1140,320,255,255,255
1141,330,255,255,255
1142,366,255,255,255
1143,295,255,255,255
1144,273,255,255,255
1145,423,255,255,255
1146,318,255,255,255
1147,306,255,255,255
1148,405,255,255,255
1149,330,255,255,255
1150,371,255,255,255
1151,354,255,255,255
1152,428,255,255,255
1153,325,255,255,255
1154,333,255,255,255
1155,245,255,255,255
1156,316,255,255,255
1157,488,255,255,255
1158,288,255,255,255
1159,391,255,255,255
1160,323,255,255,255
1161,456,255,255,255
1162,357,255,255,255
1163,353,255,255,255
1164,425,255,255,255
1165,419,255,255,255
1166,334,255,255,255
1167,301,255,255,255
1168,309,255,255,255
1169,304,255,255,255
1170,307,255,255,255
1171,356,255,255,255
1172,365,255,255,255
1173,494,255,255,255
1174,337,255,255,255
1175,441,255,255,255
1176,299,255,255,255
1177,282,255,255,255
1178,296,255,255,255
1179,308,255,255,255
1180,382,255,255,255
1181,303,255,255,255
1182,316,255,255,255
1183,481,255,255,255
1184,440,255,255,255
1185,368,255,255,255
1186,386,255,255,255
1187,330,255,255,255
1188,414,255,255,255
1189,313,255,255,255
1190,326,255,255,255
1191,378,255,255,255
1192,293,255,255,255
1193,368,255,255,255
1194,221,255,255,255
1195,310,255,255,255
1196,435,255,255,255
1197,394,255,255,255
1198,367,255,255,255
1199,304,255,255,255
1200,376,255,255,255
1201,449,255,255,255
1202,227,255,255,255
1203,480,255,255,255
1204,319,255,255,255
1205,313,255,255,255
1206,351,255,255,255
1207,366,255,255,255
1208,319,255,255,255
1209,425,255,255,255
1210,334,255,255,255
1211,316,255,255,255
1212,320,255,255,255
1213,338,255,255,255
1214,328,255,255,255
1215,280,255,255,255
1216,313,255,255,255
1217,317,255,255,255
1218,306,255,255,255
1219,454,255,255,255
1220,394,255,255,255
1221,366,255,255,255
1222,296,255,255,255
1223,382,255,255,255
1224,297,255,255,255
1225,347,255,255,255
1226,313,255,255,255
1227,291,255,255,255
1228,346,255,255,255
1229,342,255,255,255
1230,366,255,255,255
1231,315,255,255,255
1232,357,255,255,255
1233,446,255,255,255
1234,445,255,255,255
1235,353,255,255,255
1236,287,255,255,255
1237,306,255,255,255
1238,431,255,255,255
1239,417,255,255,255
1240,344,255,255,255
1241,395,255,255,255
1242,401,255,255,255
1243,425,255,255,255
1244,452,255,255,255
1245,175,255,255,255
1246,411,255,255,255
1247,494,255,255,255
1248,295,255,255,255
1249,368,255,255,255
1250,336,255,255,255
1251,333,255,255,255
1252,422,255,255,255
1253,389,255,255,255
1254,348,255,255,255
1255,447,255,255,255
1256,335,255,255,255
1257,313,255,255,255
1258,469,255,255,255
1259,483,255,255,255
1260,377,255,255,255
1261,347,255,255,255
1262,490,255,255,255
1263,339,255,255,255
1264,355,255,255,255
1265,438,255,255,255
1266,362,255,255,255
1267,315,255,255,255
1268,353,255,255,255
1269,326,255,255,255
1270,359,255,255,255
1271,450,255,255,255
1272,499,255,255,255
1273,394,255,255,255
1274,374,255,255,255
1275,202,255,255,255
1276,213,255,255,255
1277,365,255,255,255
1278,484,255,255,255
1279,415,255,255,255
1280,386,255,255,255
1281,319,255,255,255
1282,349,255,255,255
1283,419,255,255,255
1284,410,255,255,255
1285,372,255,255,255
1286,393,255,255,255
1287,312,255,255,255
1288,321,255,255,255
1289,424,255,255,255
1290,251,255,255,255
1291,353,255,255,255
1292,352,255,255,255
1293,325,255,255,255
1294,377,255,255,255
1295,267,255,255,255
1296,395,255,255,255
1297,414,255,255,255
1298,390,255,255,255
1299,414,255,255,255
1300,279,255,255,255
1301,298,255,255,255
1302,394,255,255,255
1303,379,255,255,255
1304,277,255,255,255
1305,347,255,255,255
1306,355,255,255,255
1307,349,255,255,255
1308,404,255,255,255
1309,405,255,255,255
1310,399,255,255,255
1311,395,255,255,255
1312,406,255,255,255
1313,334,255,255,255
1314,395,255,255,255
1315,394,255,255,255
1316,358,255,255,255
1317,376,255,255,255
1318,384,255,255,255
1319,390,255,255,255
1320,414,255,255,255
1321,371,255,255,255
1322,482,255,255,255
1323,490,255,255,255
1324,331,255,255,255
1325,345,255,255,255
1326,374,255,255,255
1327,361,255,255,255
1328,359,255,255,255
1329,398,255,255,255
1330,332,255,255,255
1331,484,255,255,255
1332,342,255,255,255
1333,351,255,255,255
1334,354,255,255,255
1335,461,255,255,255
1336,492,255,255,255
1337,311,255,255,255
1338,329,255,255,255
1339,355,255,255,255
1340,346,255,255,255
1341,428,255,255,255
1342,351,255,255,255
1343,341,255,255,255
1344,373,255,255,255
1345,468,255,255,255
1346,341,255,255,255
1347,399,255,255,255
1348,364,255,255,255
1349,447,255,255,255
1350,480,255,255,255
1351,360,255,255,255
1352,459,255,255,255
1353,368,255,255,255
1354,404,255,255,255
1355,427,255,255,255
1356,382,255,255,255
1357,341,255,255,255
